"english","spanish"
"She ran and ran and ran, until the night came to a close.","Ella corrió y corrió y corrió, hasta que la noche llegó a su fin."
"When she woke again, the sun was shining on her face.","Cuando se despertó de nuevo, el sol le brillaba en la cara."
"Will you give me a cup of tea?","¿Me das una taza de té?"
"Will you try it and see if it makes a difference if wouldn't mind?","¿Lo intentarás y verás si hace una diferencia si no te importaría?"
"Would you like to go on an outdoor adventure?","¿Te gustaría ir a una aventura al aire libre?"
"He watched as the wolf disappeared into the tall grass.","Vio como el lobo desaparecía entre la hierba alta."
"I know you must be tired, so I will let you rest.","Sé que debes estar cansado, así que te dejaré descansar."
"The dry weather was perfect for building.","El clima seco fue perfecto para la construcción."
"Those few pieces of fat pine were a great treasure.","Esos pocos trozos de pino gordo eran un gran tesoro."
"The table and chairs were made of a dark rich wood.","La mesa y las sillas estaban hechas de una rica madera oscura."
"She breathed in the ocean air.","Ella respiró el aire del océano."
"We bought a lily and set it in a sunny window.","Compramos un lirio y lo pusimos en una ventana soleada."
"We can't keep falling forever, you know.","No podemos seguir cayendo para siempre, sabes."
"After two years' growth the bushes should be quite tall.","Después de dos años de crecimiento, los arbustos deberían ser bastante altos."
"She glanced around the lush hills.","Ella miró alrededor de las exuberantes colinas."
"All of the islands have beautiful beaches and lush scenery.","Todas las islas tienen hermosas playas y paisajes exuberantes."
"The place is absolutely crammed with plants, a lush green oasis.","El lugar está absolutamente repleto de plantas, un exuberante oasis verde."
"It is a very vibrant and proud community.","Es una comunidad muy vibrante y orgullosa."
"The dawn brought cool air and dense fog.","El amanecer trajo aire fresco y una densa niebla."
"The air was dry and hot, as if she were in a sauna.","El aire estaba seco y caliente, como si estuviera en una sauna."
"Cherry blossoms are in bloom for a short period.","Las flores de cerezo florecen por un período corto."
"Scorpions are numerous in the arid regions.","Los escorpiones son numerosos en las regiones áridas."
"The day was sunny and mild, a perfect day for riding.","El día fue soleado y templado, un día perfecto para montar."
"The majestic river dashes its way towards the valley.","El majestuoso río corre hacia el valle."
"The blossom is fragrant.","La flor es fragante."
"The apple trees are looking beautiful.","Los manzanos se ven hermosos."
"The birds are chirping in the trees.","Los pájaros cantan en los árboles."
"The cool breeze is chilling my spine.","La brisa fresca me está enfriando la columna vertebral."
"The tides are rushing towards the land.","Las mareas se precipitan hacia la tierra."
"A calm river is flowing from the mountains.","Un río tranquilo fluye de las montañas."
"The pond has many flowers.","El estanque tiene muchas flores."
"Birds are flying around fearlessly.","Los pájaros vuelan sin miedo."
"The frogs are trilling in the pond.","Las ranas están trinando en el estanque."
"The tree has long branches.","El árbol tiene ramas largas."
"Fresh fruit, please.","Fruta fresca, por favor."
"The sky is so amazingly beautiful today.","El cielo es increíblemente hermoso hoy."
"Deer are grazing in the fields.","Los ciervos están pastando en los campos."
"The wolf is chasing the deer.","El lobo está persiguiendo al ciervo."
"This river contains many species of fish.","Este río contiene muchas especies de peces."
"A pack of wolves is howling in the forest.","Una manada de lobos está aullando en el bosque."
"The clouds caused a sudden blizzard.","Las nubes provocaron una ventisca repentina."
"Let us fly a kite in the bright sunshine.","Vamos a volar una cometa bajo el sol brillante."
"The bugs are making weird noises.","Los insectos están haciendo ruidos extraños."
"The mighty river is flowing along the slopes of the mountains.","El caudaloso río fluye a lo largo de las laderas de las montañas."
"We are approaching a valley.","Nos acercamos a un valle."
"The great wind hit the valley.","El gran viento golpeó el valle."
"Look at the colorful butterflies!","¡Mira las coloridas mariposas!"
"The birds are cool looking.","Los pájaros son geniales."
"The rabbits are hopping joyously.","Los conejos están saltando alegremente."
"The talkative bird is curious.","El pájaro hablador es curioso."
"The coyote is witty.","El coyote es ingenioso."
"The mice are squeaking happily.","Los ratones chillan alegremente."
"Snow is dripping from the leaves.","La nieve está goteando de las hojas."
"Birds are drinking water from the unusually still river.","Los pájaros beben agua del río inusualmente tranquilo."
"Rabbits hop merrily.","Los conejos saltan alegremente."
"This particular rabbit was pretty quick at finding some food.","Este conejo en particular fue bastante rápido en encontrar algo de comida."
"The bird builds its nest quickly from twigs.","El pájaro construye su nido rápidamente a partir de ramitas."
"The fluffy bear fishes in the stream.","El oso peludo pesca en el arroyo."
"The bear snores peacefully.","El oso ronca pacíficamente."
"The unstable rock rolls down the mountains.","La roca inestable rueda por las montañas."
"The flowers blossom blissfully.","Las flores florecen felizmente."
"The lush green forest has a lot of animals in it.","El bosque verde y exuberante tiene muchos animales."
"Do you want to talk while we're playing?","¿Quieres hablar mientras jugamos?"
"Fruit is currently being harvested as we eat.","Actualmente, la fruta se cosecha a medida que comemos."
"Fresh berries are scattered across the land.","Las bayas frescas están esparcidas por la tierra."
"The moths flock to the light like crazy.","Las polillas acuden a la luz como locas."
"Wavy branches make fill the day with joy.","Ramas onduladas hacen llenar el día de alegría."
"The ducks quack happily.","Los patos graznan alegremente."
"The birds are at rest.","Los pájaros están en reposo."
"Reptiles lay under the canopy of the forest.","Los reptiles yacen bajo el dosel del bosque."
"Butterflies sit on the shrubs.","Las mariposas se posan en los arbustos."
"The rabbit is lying on his back playfully.","El conejo está acostado de espaldas juguetonamente."
"I hope the birds would sing while we play in the grass.","Espero que los pájaros canten mientras jugamos en el césped."
"No, I don't see why that should be.","No, no veo por qué debería ser así."
"First we wait, then we move.","Primero esperamos, luego nos movemos."
"I've never tried that, should be interesting!","Nunca lo he intentado, ¡debería ser interesante!"
"If we could, we should, why wouldn't we?","Si pudiéramos, deberíamos, ¿por qué no lo haríamos?"
"She speaks as if everyone was asleep.","Habla como si todos estuvieran dormidos."
"No wonder the birds sing, they sound great!","¡No es de extrañar que los pájaros canten, suenan muy bien!"
"What is your favorite thing to do?","¿Cual es tu cosa favorita para hacer?"
"The moon shines too, just not as much.","La luna también brilla, pero no tanto."
"If only we could jump and reach the skies.","Si tan solo pudiéramos saltar y alcanzar los cielos."
"Let's get there by running.","Vamos a llegar corriendo."
"We are going to explore the forest tomorrow.","Vamos a explorar el bosque mañana."
"We are from the beach.","Somos de la playa."
"Here, let me get that for you.","Aquí, déjame traerte eso."
"I want to be tall when I grow up.","Quiero ser alto cuando sea grande."
"A gentle breeze is clearing away all the leaves.","Una suave brisa está limpiando todas las hojas."
"Take these rocks, they are yours.","Toma estas rocas, son tuyas."
"Remind your brother to take you out when he wakes up.","Recuérdale a tu hermano que te lleve cuando se despierte."
"It is time to relax and enjoy.","Es hora de relajarse y disfrutar."
"The snow is very welcoming.","La nieve es muy acogedora."
"I need a light sleep in the afternoon.","Necesito un sueño ligero por la tarde."
"We are planning a trip to the forest.","Estamos planeando un viaje al bosque."
"The fruit we are having today is from the forest.","La fruta que estamos teniendo hoy es del bosque."
"They are coming over to play.","Vienen a jugar."
"Think of any number from one to ten.","Piense en cualquier número del uno al diez."
"It's time to go home.","Es hora de irse a casa."
"Imagine the purple leaves.","Imagina las hojas de color púrpura."
"Get some ice cubes for the juice.","Consigue unos cubitos de hielo para el jugo."
"Get me two stones: one brown, the other white.","Consígueme dos piedras: una marrón y la otra blanca."
"I will be swimming with the fish.","Estaré nadando con los peces."
"Watch closely!","¡Observe atentamente!"
"Let's go find some fruit.","Vamos a buscar algo de fruta."
"Can we climb that tree?","¿Podemos trepar a ese árbol?"
"Yesterday was fun because we found that big rock.","Ayer fue divertido porque encontramos esa gran roca."
"Let us finish this before the sun sets.",Terminemos con esto antes de que se ponga el sol.
"I love having fruit in the afternoon.","Me encanta comer fruta por la tarde."
"When can you come out to play?","¿Cuándo puedes salir a jugar?"
"I am always at home at weekends.","Siempre estoy en casa los fines de semana."
"You can be the best at anything you can imagine.","Puedes ser el mejor en cualquier cosa que puedas imaginar."
"It gets dark when the lights turn off.","Se hace de noche cuando se apagan las luces."
"Our dad gives us fruit every day.","Nuestro papá nos da fruta todos los días."
"Animals sleep all the time.","Los animales duermen todo el tiempo."
"We all love playing games.","A todos nos encanta jugar."
"We crossed the river with our bare feet.","Cruzamos el río descalzos."
"Place the fruit peel into the pile.","Coloque la cáscara de la fruta en la pila."
"My feet got wet from the rain.","Mis pies se mojaron por la lluvia."
"I found two branches had fallen from the tree.","Encontré que dos ramas se habían caído del árbol."
"The wolf howled all night.","El lobo aulló toda la noche."
"Let's give them another chance.","Démosles otra oportunidad."
"Keep sight of where you are going.","No pierdas de vista el lugar al que vas."
"I don't take sugar in my tea, thanks.","No tomo azúcar en mi té, gracias."
"Feel free to visit me anytime.","No dudes en visitarme en cualquier momento."
"Her voice sounded so happy.","Su voz sonaba tan feliz."
"We are going to clean everything up.","Vamos a limpiar todo."
"Let's meet at our tree house when the sun rises.","Encontrémonos en nuestra casa del árbol cuando salga el sol."
"Can you make tea for us?","¿Puedes hacernos té?"
"I must follow my dream where ever it takes me.","Debo seguir mi sueño donde quiera que me lleve."
"We thanked our teacher for all her hard work.","Agradecimos a nuestra maestra por todo su arduo trabajo."
"Let's get started right away.","Empecemos de inmediato."
"Let everyone have what they want.","Que todos tengan lo que quieran."
"The leaves are scattered all over the forest floor.","Las hojas están esparcidas por todo el suelo del bosque."
"The fruits are all small and green.","Los frutos son todos pequeños y verdes."
"Would you please pour me a glass of the juice you made.","¿Podrías servirme un vaso del jugo que hiciste?"
"The rabbits are enjoying their meal.","Los conejos están disfrutando de su comida."
"Keep the windows slightly open.","Mantenga las ventanas ligeramente abiertas."
"Who let the animals out?","¿Quién dejó salir a los animales?"
"Try to remember what happened.","Trate de recordar lo que pasó."
"I came here for you.","Vine aquí por ti."
"We both took a piece of fruit.","Ambos tomamos una pieza de fruta."
"We all sat watching the sun rise.","Todos nos sentamos a ver salir el sol."
"She is a very polite young girl.","Es una joven muy educada."
"Bring everything to me.",Tráeme todo.
"The birds chirped as they were fed.","Los pájaros piaban mientras los alimentaban."
"I have a variety of different collections.","Tengo una variedad de colecciones diferentes."
"Take care of your siblings.","Cuida a tus hermanos."
"We counted twelve branches in total.","Contamos doce sucursales en total."
"Winter is coming.","Viene el invierno."
"They love the snow so much.","Aman tanto la nieve."
"I brought some rocks with me.","Traje algunas piedras conmigo."
"Every life is sacred.","Toda vida es sagrada."
"I can't run that fast.","No puedo correr tan rápido."
"The sun is shining quite brightly today.","El sol brilla bastante hoy."
"These berries are very fresh.","Estas bayas son muy frescas."
"The sky is clear today.","El cielo está despejado hoy."
"There are many species of plants in the forest.","Hay muchas especies de plantas en el bosque."
"You can see dew on leaves early in the morning.","Se puede ver el rocío en las hojas temprano en la mañana."
"The land is filled with flowers.","La tierra está llena de flores."
"Look, there is a deer in the woods.","Mira, hay un ciervo en el bosque."
"What kind of bird is this?","¿Qué tipo de pájaro es este?"
"The mountain is very steep, so be careful while climbing it.","La montaña es muy empinada, así que ten cuidado al subirla."
"Let's drink fresh water from the lake.",Bebamos agua fresca del lago.
"The pond is filled with fish of all kinds.","El estanque está lleno de peces de todo tipo."
"Flowers are in full bloom at this time of the year.","Las flores están en plena floración en esta época del año."
"The weather gets beautiful in spring.","El clima se pone hermoso en primavera."
"Full moon occurs roughly once a month, except on a blue moon.","La luna llena ocurre aproximadamente una vez al mes, excepto en una luna azul."
"The sky is filled with stars tonight.","El cielo está lleno de estrellas esta noche."
"I think I love all of the flowers around here.","Creo que me encantan todas las flores de aquí."
"I like to eat.","Me gusta comer."
"It's a beautiful view from the top of this mountain.","Es una hermosa vista desde la cima de esta montaña."
"You should sing more often, you have such a beautiful voice.","Deberías cantar más a menudo, tienes una voz tan hermosa."
"We should dance together to this song.","Deberíamos bailar juntos con esta canción."
"The flower was usually found in the back of the forest.","La flor se encontraba generalmente en el fondo del bosque."
"The wind blew the leaves lying on the ground.","El viento sopló las hojas que yacían en el suelo."
"What are you bringing to eat on this adventure?","¿Qué traes para comer en esta aventura?"
"The bird drank water from the lake.","El pájaro bebió agua del lago."
"Is it possible to swim with fishes in the sea?","¿Es posible nadar con peces en el mar?"
"Stars sparkle at night.","Las estrellas brillan por la noche."
"She has deep blue eyes.","Tiene ojos de un azul profundo."
"Heavy mist covered the magical place from being seen.","Una densa niebla cubrió el lugar mágico para que no se viera."
"It will rain today.","Lloverá hoy."
"Wild animals live out here.","Los animales salvajes viven aquí."
"Summer days are long and hot.","Los días de verano son largos y calurosos."
"The bee uses its beautiful wings to fly.","La abeja usa sus hermosas alas para volar."
"Light from the star twinkles at night.","La luz de la estrella centellea por la noche."
"The sky is covered with heavy clouds today.","El cielo está cubierto de densas nubes hoy."
"The bear living in the forest likes to eat everything.","Al oso que vive en el bosque le gusta comer de todo."
"The rock is extremely heavy.","La roca es extremadamente pesada."
"Waves can be seen from the beach.","Las olas se pueden ver desde la playa."
"Do you like reading the tree rings?","¿Te gusta leer los anillos de los árboles?"
"The duck swims in the pond.","El pato nada en el estanque."
"He plays the flute very well.","Toca muy bien la flauta."
"She lives in a big beautiful house.","Vive en una casa grande y hermosa."
"Red berries are the ripe ones.","Los frutos rojos son los maduros."
"The green grass covered the lawn.","La hierba verde cubría el césped."
"The sky is clear and blue in summer.","El cielo es claro y azul en verano."
"These berries are freshly picked from the tree.","Estas bayas están recién recogidas del árbol."
"The forest floor hides many little animals.","El suelo del bosque esconde muchos animales pequeños."
"Birds have the ability to fly.","Los pájaros tienen la capacidad de volar."
"This mountain will lead you to view number two.","Esta montaña te llevará a la vista número dos."
"Wolves have a strong sense of smell.","Los lobos tienen un fuerte sentido del olfato."
"All the trees are covered in snow in winter.","Todos los árboles están cubiertos de nieve en invierno."
"How many members are there in your family?","¿Cuántos miembros hay en tu familia?"
"Children like to build stuff when they are on the beach.","A los niños les gusta construir cosas cuando están en la playa."
"He stayed in the cool and dark cave to avoid getting wet in the rain.","Se quedó en la cueva fresca y oscura para evitar mojarse con la lluvia."
"Let's play hide and seek, it will be fun.","Juguemos al escondite, será divertido."
"What are you making tonight?","¿Qué vas a hacer esta noche?"
"I love my family.","Amo a mi familia."
"The food from the forest was delicious.","La comida del bosque estaba deliciosa."
"How often does a bird flap its wings?","¿Con qué frecuencia un pájaro bate sus alas?"
"It is very important to stay warm in winter.","Es muy importante mantenerse caliente en invierno."
"My best friend gave me a piece of fresh fruit.","Mi mejor amigo me dio una pieza de fruta fresca."
"Flowers blossom on the tree every spring.","Las flores florecen en el árbol cada primavera."
"I often dream about magical creatures at night.","A menudo sueño con criaturas mágicas por la noche."
"The land was filled with short bushes.","La tierra se llenó de arbustos cortos."
"Sweet juice is a very refreshing treat on a hot day.","El jugo dulce es una delicia muy refrescante en un día caluroso."
"The gold glimmered in the dark.","El oro brillaba en la oscuridad."
"Water bubbles when it boils.","El agua burbujea cuando hierve."
"People of this town are very nice and helpful.","La gente de esta ciudad es muy amable y servicial."
"Animals have a very special place in my heart.","Los animales tienen un lugar muy especial en mi corazón."
"Fully ripened berries are sweet and delicious.","Las bayas completamente maduras son dulces y deliciosas."
"The bird has a nest on the branch of this tree.","El pájaro tiene un nido en la rama de este árbol."
"This short path will get you to the hill in no time.","Este camino corto te llevará a la colina en poco tiempo."
"Are you free this afternoon?","¿Estás libre esta tarde?"
"Insects often live in humid climates.","Los insectos a menudo viven en climas húmedos."
"You should come the tall tree and meet me sometimes.","Deberías venir al árbol alto y reunirte conmigo de vez en cuando."
"This is a very special plant.","Esta es una planta muy especial."
"The flowers dance in the shiny weather.","Las flores bailan en el clima brillante."
"Sky in is a seemingly never-ending vastness.","Sky in es una inmensidad aparentemente interminable."
"The ever so bright sun is glimmering in the open blue sea.","El sol siempre tan brillante brilla en el mar azul abierto."
"The sun is starting to set.","El sol está empezando a ponerse."
"As the day is at its brink and the night is about to break.","Como el día está a punto de terminar y la noche está a punto de despuntar."
"The leaves of the tree.","Las hojas del árbol."
"The bright sunshine warms the rabbit as it begins to sleep.","El sol brillante calienta al conejo cuando comienza a dormir."
"The river clashes with the rocks fiercefully.","El río choca ferozmente con las rocas."
"The cool breeze makes the bird dance in the wind.","La brisa fresca hace bailar al pájaro en el viento."
"The raindrops look like silver gems scattering across the land.","Las gotas de lluvia parecen gemas de plata esparcidas por la tierra."
"The wolf wags his tail as he gets patted.","El lobo menea la cola mientras le dan palmaditas."
"The land is filled with cool looking flowers.","La tierra está llena de flores de aspecto fresco."
"The squirrels relax as the warm sunlight approaches.","Las ardillas se relajan cuando se acerca la cálida luz del sol."
"It is a field of aromatic flowers.","Es un campo de flores aromáticas."
"The fish playfully travel the tides of the ocean.","Los peces viajan juguetonamente por las mareas del océano."
"The deer grazes as the sun dawns.","El ciervo pasta al amanecer."
"The dry autumn leaves crunch as I walk through.","Las hojas secas de otoño crujen mientras camino."
"The wolf relaxes as the day dusks.","El lobo se relaja al anochecer."
"The herd of elk sleeps as the day ends in the tranquil countryside.","La manada de alces duerme mientras termina el día en el tranquilo campo."
"He is as calm as the fields of the countryside.","Está tan tranquilo como los campos del campo."
"The bees buzz in the scorching summer heat.","Las abejas zumban en el abrasador calor del verano."
"The juicy berries grow in the bushes.","Las bayas jugosas crecen en los arbustos."
"The bird flaps her wings as the sudden breeze touches her.","El pájaro bate sus alas cuando la brisa repentina la toca."
"The birds take shed in the trees as the hot sunlight approaches them.","Los pájaros se posan en los árboles cuando la luz del sol se acerca."
"The bird moves rhythmically as the drops of rain pats her.","El pájaro se mueve rítmicamente mientras las gotas de lluvia la acarician."
"The school of fish swims around as the tides rise.","El banco de peces nada a medida que sube la marea."
"The ducks dance in the sweet spring.","Los patos bailan en la dulce primavera."
"The rainbow reveals itself as the rain stops.","El arco iris se revela cuando la lluvia se detiene."
"The owl stares at the moon in the lonely night sky.","El búho mira fijamente a la luna en el cielo nocturno solitario."
"The rocks act as a pillow to the lazy grizzly bears.","Las rocas actúan como una almohada para los perezosos osos pardos."
"The wind takes away the seeds from the trees.","El viento les quita las semillas a los árboles."
"The rabbit eats the food peacefully.","El conejo come la comida tranquilamente."
"Snow chills the animals as winter approaches.","La nieve enfría a los animales a medida que se acerca el invierno."
"Reptiles crawl in the wet forest floor.","Los reptiles se arrastran por el suelo húmedo del bosque."
"The bird weaves its nest as the spring approaches.","El pájaro teje su nido cuando se acerca la primavera."
"The wolves howl in the moonlight.","Los lobos aúllan a la luz de la luna."
"The eagle rises above the clouds as it rains.","El águila se eleva por encima de las nubes cuando llueve."
"Are you able to come aboard at this moment?","¿Puedes subir a bordo en este momento?"
"We made plans about how to best see the stars.","Hicimos planes sobre cómo ver mejor las estrellas."
"He didn't know I was watching from above.","No sabía que estaba mirando desde arriba."
"How can you get across this river so quickly?","¿Cómo puedes cruzar este río tan rápido?"
"I couldn't see after the dirt got in my eyes.","No pude ver después de que la suciedad se me metió en los ojos."
"She pushed against the tree with all her strength.","Empujó contra el árbol con todas sus fuerzas."
"Would you have brought me along otherwise?","¿Me habrías traído de otra manera?"
"Will you be among those in the forest?","¿Estarás entre los del bosque?"
"I don't want to be around when she arrives.","No quiero estar cerca cuando ella llegue."
"He doesn't move as quickly as she does.","Él no se mueve tan rápido como ella."
"We could have traveled at a slower pace.","Podríamos haber viajado a un ritmo más lento."
"What you see before you is a huge animal.","Lo que ves ante ti es un animal enorme."
"Why won't you get behind her?","¿Por qué no te colocas detrás de ella?"
"She wanted me to go down below.","Ella quería que yo fuera abajo."
"Beneath the tree, an animal just woke up.","Debajo del árbol, un animal acaba de despertarse."
"She had been beside him for the entire journey.","Ella había estado a su lado durante todo el viaje."
"I'll decide between staying here and going home.","Decidiré entre quedarme aquí o irme a casa."
"He refuses to help anyone beyond his own family.","Se niega a ayudar a nadie más que a su propia familia."
"I would swim, but it is too early in the day.","Yo nadaría, pero es demasiado temprano en el día."
"You might be able to find her by the river.","Quizás puedas encontrarla junto al río."
"Despite the weather, I will get there on time.","A pesar del clima, llegaré a tiempo."
"If you keep jumping up and down, she will leave.","Si sigues saltando arriba y abajo, ella se irá."
"It's difficult to swim at such a wild storm.","Es difícil nadar en una tormenta tan salvaje."
"Don't say anything except that you love him.","No digas nada excepto que lo amas."
"She would have made food for you if you'd asked.","Ella te habría preparado comida si lo hubieras pedido."
"They walked from the forest to the river.","Caminaron desde el bosque hasta el río."
"He's worried that we've been in the forest for too long.","Le preocupa que hayamos estado en el bosque demasiado tiempo."
"Can you believe that a rock is inside this fruit?","¿Puedes creer que hay una piedra dentro de esta fruta?"
"If she turns him into an animal, I will save him.","Si ella lo convierte en un animal, lo salvaré."
"It was like the entire forest had suddenly stopped.","Era como si todo el bosque se hubiera detenido de repente."
"She had been near death several times","Había estado al borde de la muerte varias veces"
"He doesn't want us to be next to him again.","No quiere que volvamos a estar a su lado."
"Several friends have forgotten how to swim.","Varios amigos se han olvidado de nadar."
"I strayed off the path despite his orders.","Me desvié del camino a pesar de sus órdenes."
"He found us on his way home from the river.","Nos encontró de camino a casa desde el río."
"I don't know how we got onto this topic.","No sé cómo llegamos a este tema."
"You should get out of the river before sunset.","Deberías salir del río antes del atardecer."
"The animals would have flown over the forest.","Los animales habrían volado sobre el bosque."
"If you can't swim, you shouldn't go past this river.","Si no sabes nadar, no debes pasar por este río."
"As per the king's orders, you must leave this village.","Según las órdenes del rey, debes abandonar este pueblo."
"Plus, we can't stay here if you are also here.","Además, no podemos quedarnos aquí si tú también estás aquí."
"I will talk more regarding this matter.","Hablaré más sobre este asunto."
"Have you seen a large rock 'round here?","¿Has visto una gran roca por aquí?"
"She would climb it save for the fact that she is too short.","Lo escalaría si no fuera por el hecho de que es demasiado baja."
"He has gotten weaker since I last saw him.","Se ha debilitado desde la última vez que lo vi."
"I would rather eat fruit than meat.","Prefiero comer fruta que carne."
"Maybe this time they will get through to her.","Tal vez esta vez lleguen a ella."
"I will keep jumping till they tell me to stop.","Seguiré saltando hasta que me digan que pare."
"Do we want them to give this to us?","¿Queremos que nos den esto?"
"They can either move toward the sea or go home.","Pueden moverse hacia el mar o volver a casa."
"The queen will find a rock under some leaves.","La reina encontrará una piedra debajo de unas hojas."
"He wished he could rest underneath the tree.","Deseaba poder descansar debajo del árbol."
"It is unlike anything I have ever seen.","Es diferente a todo lo que he visto."
"She likes to swim until the sunset.","Le gusta nadar hasta el atardecer."
"What goes up must come down.","Todo lo que sube tiene que bajar."
"She used to love gazing upon the water.","Le encantaba contemplar el agua."
"We argued about the forest versus the river.","Discutimos sobre el bosque versus el río."
"Tomorrow morning, I will have traveled via boat.","Mañana por la mañana habré viajado en barco."
"If I were with him, I would annoy him.","Si estuviera con él, lo molestaría."
"There was a wild animal deep within the cave.","Había un animal salvaje en lo profundo de la cueva."
"I shouldn't have left without eating first.","No debería haberme ido sin comer primero."
"If you had taken another step, I would have laughed. ","Si hubieras dado un paso más, me habría reído."
"Any of the animals could have done this.","Cualquiera de los animales podría haber hecho esto."
"She used to love anyone who gave her food.","Ella amaba a cualquiera que le diera comida."
"Does he think I had anything to do with that?","¿Cree que yo tuve algo que ver con eso?"
"If you could go anywhere, where would you go?","Si pudieras ir a cualquier parte, ¿a dónde irías?"
"Both of us should dance instead of one.","Ambos deberíamos bailar en lugar de uno."
"Please be certain before you run there.","Por favor, asegúrese antes de correr allí."
"Each child should give and receive one gift.","Cada niño debe dar y recibir un regalo."
"I thought she was either one or two years old.","Pensé que tenía uno o dos años."
"This is more than enough for her birthday.","Esto es más que suficiente para su cumpleaños."
"She waited for us every day that we were gone.","Ella nos esperaba todos los días que nos fuimos."
"He will say everyone has water if you ask.","Dirá que todo el mundo tiene agua si lo pides."
"Everything in the forest is green today.","Todo en el bosque es verde hoy."
"Has she been everywhere in the world?","¿Ha estado en todas partes del mundo?"
"There are few people I do not know here.","Hay pocas personas que no conozco aquí."
"This is the last time I will ever climb this tree.","Esta es la última vez que treparé a este árbol."
"She will expect at least five gifts tomorrow.","Ella esperará al menos cinco regalos mañana."
"Why do I have less water than she does?","¿Por qué tengo menos agua que ella?"
