"english","spanish"
"There is little that he cannot do.","Hay poco que él no pueda hacer."
"I have many doubts about your new plan.","Tengo muchas dudas sobre su nuevo plan."
"She climbs trees more than he does. ","Ella trepa a los árboles más que él."
"That is the most pleased I've ever seen you.","Es lo más feliz que te he visto."
"Much of my life has been full of happiness.","Gran parte de mi vida ha estado llena de felicidad."
"Neither person had seen the mountains before.","Ninguna persona había visto las montañas antes."
"We cannot find the tree that is next to the river.","No podemos encontrar el árbol que está al lado del río."
"There are no leaves on the trees this year.","No hay hojas en los árboles este año."
"None of my friends are at home right now.","Ninguno de mis amigos está en casa en este momento."
"Nothing is wrong with eating fruit.","No hay nada de malo en comer fruta."
"The forest is nowhere near the sea!","¡El bosque no está cerca del mar!"
"We had only seen the forest once before.","Solo habíamos visto el bosque una vez antes."
"Hopefully several people show up today.","Ojalá varias personas se presenten hoy."
"It takes some courage to climb such a tall tree.","Se necesita algo de valor para trepar a un árbol tan alto."
"If somebody wants food, we will go to the forest.","Si alguien quiere comida, iremos al bosque."
"Is there something he wanted to say to them?","¿Hay algo que quisiera decirles?"
"They will find a home somewhere around here.","Encontrarán un hogar en algún lugar por aquí."
"That is exactly what I am talking about!","¡Eso es exactamente de lo que estoy hablando!"
"Whatever your favorite color is, mine is as well.","Cualquiera que sea tu color favorito, el mío también lo es."
"She wouldn't remember which tree we visited.","Ella no recordaría qué árbol visitamos."
"I will eat bread or fruit: whichever you prefer.","Comeré pan o fruta: lo que prefieras."
"A river flows through the valley.","Un río fluye a través del valle."
"The setting sun reflecting off the water lights up the area with golden light.","El sol poniente que se refleja en el agua ilumina el área con una luz dorada."
"I sat on the rock and watched the sunset through the window.","Me senté en la roca y vi la puesta de sol a través de la ventana."
"He spent last time on a mountain.","Pasó la última vez en una montaña."
"The moon was appearing behind the clouds at the dark of midnight. ","La luna estaba apareciendo detrás de las nubes en la oscuridad de la medianoche."
"A fresh layer of snow covered the path.","Una nueva capa de nieve cubrió el camino."
"The moon dangles low and large in the dark sky.","La luna cuelga baja y grande en el cielo oscuro."
"The sun rose bright and fair, and the morning was without a cloud.","El sol salió brillante y hermoso, y la mañana estuvo sin nubes."
"At sunset, the sky shaded from pink into dark red.","Al atardecer, el cielo se oscureció de rosa a rojo oscuro."
"Birds are singing in the tree.","Los pájaros cantan en el árbol."
"The bird landed gracefully on the water.","El pájaro aterrizó con gracia en el agua."
"The grass was covered with frost in the early morning.","La hierba estaba cubierta de escarcha a primera hora de la mañana."
"The gentle rain was over, but drops were still falling from the trees.","La lluvia suave había terminado, pero aún caían gotas de los árboles."
"The rainbow formed a beautiful arc in the sky.","El arco iris formó un hermoso arco en el cielo."
"That wide-eyed innocent look reminded him of a newborn baby.","Esa mirada inocente de ojos abiertos le recordó a un bebé recién nacido."
"The leaves were floating gently down the river.","Las hojas flotaban suavemente río abajo."
"She brought a handful of fruit from the forest.","Ella trajo un puñado de frutas del bosque."
"The air around him was cold like it was being iced.","El aire a su alrededor estaba frío como si estuviera helado."
"The bee came to dance on the flower.","La abeja vino a bailar sobre la flor."
"Allow in a cool night breeze.","Deja entrar una fresca brisa nocturna."
"I have many far-off friends whom I never seen.","Tengo muchos amigos lejanos a los que nunca he visto."
"I was glad to go back to the village to see my home and friends once more.","Me alegré de volver al pueblo para ver a mi casa ya mis amigos una vez más."
"He has two younger siblings, a brother and a sister.","Tiene dos hermanos menores, un hermano y una hermana."
"Mom placed a pot of brightly colored flowers on the table.","Mamá colocó una maceta con flores de colores brillantes sobre la mesa."
"She returned to the meadow and sat down on the grass.","Regresó al prado y se sentó en la hierba."
"There was a small interesting rock beside the tree, on which there was a frog.","Había una pequeña roca interesante al lado del árbol, en la que había una rana."
"He used to go out with his friends every night.","Solía salir con sus amigos todas las noches."
"Across the way, warm sun light showed through the dense forest.","Al otro lado del camino, la cálida luz del sol se asomaba a través del denso bosque."
"The way a butterfly flutters from flower to flower is graceful.","La forma en que una mariposa revolotea de flor en flor es elegante."
"The flowers this year which bloomed in the early spring have stayed abundant.","Las flores de este año que florecieron a principios de la primavera se han mantenido abundantes."
"He waded out of the water and laid his socks and shirt on a rock in the sun to dry.","Salió del agua y dejó los calcetines y la camisa sobre una roca al sol para que se secaran."
"Our last halt was under a wild berry push a short distance from the lake.","Nuestra última parada fue bajo un empujón de bayas silvestres a poca distancia del lago."
"She looked up at the glowing clouds, from which snow had begun to fall again.","Ella miró hacia las nubes brillantes, de las cuales la nieve había comenzado a caer de nuevo."
"Fruits of great variety are grown in the valley and foothills.","En el valle y las colinas se cultivan frutos de gran variedad."
"The country has a beautiful sandy beach.","El país tiene una hermosa playa de arena."
"She tossed her head back to stare at the stars.","Echó la cabeza hacia atrás para mirar las estrellas."
"He was living on the hilltop with a flock of two hundred elk.","Vivía en la cima de la colina con una bandada de doscientos alces."
"The little boy was halfway to the lake when mom spoke to him.","El niño estaba a medio camino del lago cuando mamá le habló."
"A single gentle rain makes the grass many shades greener.","Una sola lluvia suave hace que el césped sea mucho más verde."
"There was nothing dangerous about the forest, except snakes and insects.","No había nada peligroso en el bosque, excepto serpientes e insectos."
"Below the falls, a large beautiful rainbow gave color to the rising mist.","Debajo de las cataratas, un gran arco iris hermoso dio color a la niebla que se elevaba."
"Everything is ready for the forest walk.","Todo está listo para la caminata por el bosque."
"He smelled the fragrance of wildflowers while walking on a path that led to the pond.","Olió la fragancia de las flores silvestres mientras caminaba por un sendero que conducía al estanque."
"The desert was basking in an orange sunset when they finally stopped.","El desierto estaba disfrutando de una puesta de sol anaranjada cuando finalmente se detuvieron."
"The birds flew to their nests in the evening.","Los pájaros volaron a sus nidos por la noche."
"Water was dripping from the trees, and the land was wet.","El agua goteaba de los árboles y la tierra estaba húmeda."
"Snow crunched under her feet and quickly soaked her gear.","La nieve crujió bajo sus pies y rápidamente empapó su equipo."
"It was at the beginning of winter.","Fue a principios de invierno."
"Nature was at her peak, blending the wild blooms with various shades of green.","La naturaleza estaba en su apogeo, mezclando las flores silvestres con varios tonos de verde."
"It lies in a hilly well-wooded landscape above the valley of the small river.","Se encuentra en un paisaje montañoso y boscoso sobre el valle del pequeño río."
"The birds saw the little girl who was walking among the trees and flew down to greet her.","Los pájaros vieron a la niña que caminaba entre los árboles y bajaron volando para recibirla."
"She glanced down at the bird's nest in her hand.","Ella miró el nido de pájaro que tenía en la mano."
"She studied the berry-like seeds that grew in a cluster at the top of the bush.","Estudió las semillas parecidas a bayas que crecían en un racimo en la parte superior del arbusto."
"The yard of the super old house was completely covered with plants, rocks, and animals.","El patio de la casa súper vieja estaba completamente cubierto de plantas, rocas y animales."
"There was not a breath of wind to stir the young leaves on the trees.","No había un soplo de viento que moviera las hojas tiernas de los árboles."
"The climate is extremely hot and dry in summer, while the winter temperature is mild and pleasant.","El clima es extremadamente cálido y seco en verano, mientras que la temperatura en invierno es suave y agradable."
"When traveling through the countryside you see many inspiring mountains, streams, valleys, and lakes.","Al viajar por el campo, verá muchas montañas, arroyos, valles y lagos inspiradores."
"It was so close to the sea that those who lived in it could hear the waves forever beating against the shore.","Estaba tan cerca del mar que los que vivían en él podían escuchar las olas batiendo eternamente contra la orilla."
"The island is very picturesque with rolling green hills surrounded by glorious coastal scenery.","La isla es muy pintoresca, con colinas verdes rodeadas de un paisaje costero glorioso."
"The ocean breeze brought that familiar scent back.","La brisa del océano trajo ese aroma familiar."
"The warm sun shined on the tall powerful trees and drew out all their fragrance.","El cálido sol brillaba sobre los árboles altos y poderosos y exhalaba toda su fragancia."
"It was very pleasant out in the shady woods.","Fue muy agradable en el bosque a la sombra."
"They were sitting around the fire and trying to keep each other warm.","Estaban sentados alrededor del fuego y tratando de mantenerse calientes."
"She opened her eyes and blinked at the sunlight streaming through the forest.","Abrió los ojos y parpadeó ante la luz del sol que atravesaba el bosque."
"An old man decides it's time to get a new rock for his collection.","Un anciano decide que es hora de comprar una nueva piedra para su colección."
"One day in spring, three men were riding together along a country road.","Un día de primavera, tres hombres viajaban juntos por un camino rural."
"She walked for half an hour until the rain began to trickle through the tree tops.","Caminó durante media hora hasta que la lluvia comenzó a gotear por las copas de los árboles."
"The soothing sound of water running over stones greeted them as they neared the creek.","El sonido relajante del agua corriendo sobre las piedras les dio la bienvenida cuando se acercaron al arroyo."
"The old creaking tree spread a blanket of shade in the grass beside the pond.","El viejo árbol crujiente extendió un manto de sombra en la hierba junto al estanque."
"I love the beautiful spring because the budding trees and the blossoming flowers are so abundant.","Me encanta la hermosa primavera porque los árboles en ciernes y las flores en flor son muy abundantes."
"Whenever my aunt comes to visit, she brings some good gifts for my family.","Siempre que viene mi tía de visita, trae buenos regalos para mi familia."
"He took his children far away to a green valley.","Se llevó a sus hijos a un valle verde."
"I am pleased because I love the warm sunshine and the fragrant flowers.","Estoy complacido porque amo el cálido sol y las fragantes flores."
"After a while, they were riding around the side of a steep hill through tall grass.","Después de un tiempo, estaban cabalgando por la ladera de una colina empinada a través de la hierba alta."
"Old meadows provide a home for many colorful plants.","Los prados antiguos albergan muchas plantas de colores."
"The warm sun had melted most of the snow from the path.","El cálido sol había derretido la mayor parte de la nieve del camino."
"She glanced back over her shoulder at the huge rock on the hill.","Miró por encima del hombro a la enorme roca de la colina."
"The sun peeked over the desert horizon to the east.","El sol se asomaba por el horizonte del desierto hacia el este."
"Ahead was nothing but a narrow dirt path lined with mature trees and bushes.","Delante no había más que un estrecho camino de tierra bordeado de árboles y arbustos maduros."
"We shall all live together in a small place near one of the lakes beyond the forest.","Viviremos todos juntos en un pequeño lugar cerca de uno de los lagos más allá del bosque."
"I took a scenic ride through the ever infinite land.","Hice un paseo panorámico por la tierra infinita."
"He imagined the way the ocean breeze zipped straight into their tent.","Se imaginó la forma en que la brisa del mar entraba directamente en su tienda."
"In the evening, we would walk in the yard and catch the grasshoppers and butterflies.","Por la noche, paseábamos por el jardín y pescábamos saltamontes y mariposas."
"The sun set too early on that autumn day.","El sol se puso demasiado temprano ese día de otoño."
"The valleys within the hill ranges are fragrant with aromatic shrubs.","Los valles dentro de las sierras están fragantes con arbustos aromáticos."
"He skipped a stone across the pond.","Se tiró una piedra al otro lado del estanque."
"She glanced up at her friend, who was sitting against a tree watching her.","Ella miró a su amiga, que estaba sentada contra un árbol mirándola."
"Have you ever seen a rainbow?","¿Alguna vez has visto un arcoíris?"
"Yesterday, I had a chance to view a rainbow.","Ayer tuve la oportunidad de ver un arcoíris."
"The rainbow was far and high but neither thick nor full.","El arco iris era alto y lejano, pero ni espeso ni completo."
"I will be lucky to see a rainbow again.","Tendré suerte de volver a ver un arcoíris."
"This evening we might see a beautiful double rainbow.","Esta noche podríamos ver un hermoso arco iris doble."
"I heard the animals chewing grass.","Escuché a los animales masticando hierba."
"I looked at the many birds along the path.","Miré los muchos pájaros a lo largo del camino."
"The birds made short, high pitched sounds.","Los pájaros emitían sonidos cortos y agudos."
"I was very tired after the long day deep in the forest.","Estaba muy cansado después del largo día en lo profundo del bosque."
"We did not have enough energy to play games.","No teníamos suficiente energía para jugar."
"Still, we were asked to see how far we could throw these rocks.","Aún así, nos pidieron que viéramos qué tan lejos podíamos lanzar estas rocas."
"He loudly counted one, two, three to start the game.","Contó en voz alta uno, dos, tres para comenzar el juego."
"We could dig some soil and build a mountain.","Podríamos cavar un poco de tierra y construir una montaña."
"We even jumped out because it was not very high.","Incluso saltamos porque no era muy alto."
"I just felt that we must again go to this forest for another fun time.","Simplemente sentí que debemos ir de nuevo a este bosque para disfrutar de otro momento divertido."
"It was too late when we came back home.","Era demasiado tarde cuando regresamos a casa."
"Later in the calm of the night, when you get a chance.","Más tarde, en la calma de la noche, cuando tengas la oportunidad."
"I also saw the moon in the sky.","También vi la luna en el cielo."
"The stars looked very small, yet they did flicker.","Las estrellas parecían muy pequeñas, pero parpadeaban."
"It's pretty hard to see stars on a cloudy day.","Es bastante difícil ver estrellas en un día nublado."
"Where did the stars and the moon go?","¿A dónde se fueron las estrellas y la luna?"
"I went to sleep late at night.","Me fui a dormir tarde por la noche."
"What a pretty rabbit it is!","¡Qué lindo conejo es!"
"She hopped out of her burrow.","Saltó de su madriguera."
"Her eyes look all around eagerly.","Sus ojos miran a su alrededor con ansiedad."
"She perches on her toes and keeps her ears sharp and steady.","Se posa sobre los dedos de los pies y mantiene las orejas afiladas y firmes."
"There was a breeze, then the rain followed.","Hubo una brisa, luego siguió la lluvia."
"Like a hunter, she looks around.","Como un cazador, mira a su alrededor."
"She licks her ears and rubs her paws.","Se lame las orejas y se frota las patas."
"Then there seemed to be gold in the rock.","Entonces parecía haber oro en la roca."
"They do not stop or give up, and instead continue to go ahead.","No se detienen ni se rinden, sino que continúan adelante."
"Hence, they never stop, going on all day seemingly forever.","Por lo tanto, nunca se detienen, todo el día aparentemente para siempre."
"The digging in the middle of the tunnel does not stop.","La excavación en medio del túnel no se detiene."
"Even when one rabbit stops to rest, others take over and continue the process.","Incluso cuando un conejo se detiene a descansar, otros se hacen cargo y continúan el proceso."
"If it rains heavily, how can they continue?","Si llueve mucho, ¿cómo pueden continuar?"
"Then they will have to stay home.","Entonces tendrán que quedarse en casa."
"It rains.","Llueve."
"What should I do next?","¿Qué debería hacer después?"
"The day is ending.","El día se acaba."
"Sun is sinking and the moon is becoming visible.","El sol se está hundiendo y la luna se hace visible."
"So, the rabbit has to take shelter and go to sleep.","Entonces, el conejo tiene que refugiarse e irse a dormir."
"It is still so dark.","Todavía está muy oscuro."
"I woke up from my sleep to see the next bright day.","Me desperté de mi sueño para ver el próximo día brillante."
"I wonder why you hardly ever see that in real life.","Me pregunto por qué casi nunca ves eso en la vida real."
"I told my friends about my dream.","Les conté a mis amigos sobre mi sueño."
"The sun rises and falls in a seemingly endless cycle.","El sol sale y cae en un ciclo aparentemente interminable."
"Finally, there is no more moon for us to see.","Finalmente, no hay más luna para que veamos."
"Where did the moon go?","¿A dónde se fue la luna?"
"What is left but a tree containing endless fruit?","¿Qué queda sino un árbol que contiene frutos sin fin?"
"Yes please, let's do it!","¡Sí, por favor, hagámoslo!"
"Okay, if you think that is the best path.","Está bien, si crees que ese es el mejor camino."
"The bird seems to be flying upside down.","El pájaro parece estar volando boca abajo."
"I don't see why that tree needs to be so tall.","No veo por qué ese árbol necesita ser tan alto."
"I often lose myself in the beauty of the forest.","A menudo me pierdo en la belleza del bosque."
"Since we last walked here, the tree has grown by quite a lot.","Desde la última vez que caminamos aquí, el árbol ha crecido bastante."
"However, it would be a lot more interesting to just jump in ourselves.","Sin embargo, sería mucho más interesante saltar en nosotros mismos."
"This is basically the way trees grow.","Esta es básicamente la forma en que crecen los árboles."
"Put in a good word for me.","Habla bien de mí."
"We will be together until the end.","Estaremos juntos hasta el final."
"I love late night walks.","Me encantan los paseos nocturnos."
"Will you love me forever?","¿Me amarás por siempre?"
"She loves the color of the sky in the early morning.","Le encanta el color del cielo a primera hora de la mañana."
"The tree has black leaves, long, slender, and beautiful.","El árbol tiene hojas negras, largas, delgadas y hermosas."
"Flowers roses grew all around the house.","Flores rosas crecían por toda la casa."
"Look at that clear blue sky!","¡Mira ese cielo azul claro!"
"Purple flowers everywhere!","¡Flores púrpuras por todas partes!"
"The way he moved, he made it look so easy.","La forma en que se movía hacía que pareciera tan fácil."
"The rain was falling down hard.","La lluvia caía con fuerza."
"How high can trees grow amongst other trees in the forest?","¿Qué tan alto pueden crecer los árboles entre otros árboles en el bosque?"
"Lower your voice.","Baja la voz."
"I was living on a big piece of land when I was young.","Vivía en un gran terreno cuando era joven."
"That tree is pretty darn big.","Ese árbol es bastante grande."
"My imagination runs wild sometimes.","Mi imaginación se vuelve loca a veces."
"The forest was full of wild flowers.","El bosque estaba lleno de flores silvestres."
"The lake is calm today.","El lago está tranquilo hoy."
"Sitting still helps me stay calm when I am having a bad day.","Sentarme quieto me ayuda a mantener la calma cuando tengo un mal día."
"We wanted to get closer to the wild animals because they were so beautiful.","Queríamos acercarnos más a los animales salvajes porque eran muy hermosos."
"Don't stand so close to the fire.","No te quedes tan cerca del fuego."
"The storm is far away from here thankfully.","Afortunadamente, la tormenta está lejos de aquí."
"This is the oldest tree on the land.","Este es el árbol más viejo de la tierra."
"This forest is full of very old trees.","Este bosque está lleno de árboles muy viejos."
"The season is currently changing, as you can see since the leaves are getting brown.","La temporada está cambiando actualmente, como puede ver, ya que las hojas se están poniendo marrones."
"It was as hard as rock.","Fue tan duro como una roca."
"Sun is a huge source of energy.","El sol es una gran fuente de energía."
"She felt energy rushing through her.","Sintió que la energía la recorría."
"If you follow this dirt path that way, you will reach a small forest.","Si sigues este camino de tierra de esa manera, llegarás a un pequeño bosque."
"I have good feeling about this.","Tengo un buen presentimiento sobre esto."
"My father is a really good man.","Mi padre es un hombre realmente bueno."
"What is your sibling's name?","¿Cuál es el nombre de tu hermano?"
"Go to sleep, sweet child.","Vete a dormir, dulce niña."
"Family matters.","Asuntos familiares."
"Welcome to our small but loving family.","Bienvenidos a nuestra pequeña pero amorosa familia."
"Peace be with you, friend.","La paz sea contigo, amigo."
"One kiss, one hug and one smile is all that it takes.","Un beso, un abrazo y una sonrisa es todo lo que se necesita."
"For two years I dreamed of climbing that mountain.","Durante dos años soñé con escalar esa montaña."
"Knock three times.","Toca tres veces."
"Where is your favorite place?","¿Dónde está tu lugar favorito?"
"He jumped around the field, trying to catch a butterfly.","Saltó por el campo, tratando de atrapar una mariposa."
"We need to dig a hole and plant this seed.","Necesitamos cavar un hoyo y plantar esta semilla."
"Do you have a plan for the adventure?","¿Tienes un plan para la aventura?"
"I could hear interesting sounds like a song traveling through the night across the beautiful sea.","Podía escuchar sonidos interesantes como una canción viajando a través de la noche a través del hermoso mar."
"If you look carefully around you, you will find beauty everywhere.","Si miras cuidadosamente a tu alrededor, encontrarás belleza en todas partes."
"Who do you see in the lake?","¿A quién ves en el lago?"
"Come and find me.","Ven y Encuentrame."
"Find your true path.","Encuentra tu verdadero camino."
"She could not resist the call of the wild.","Ella no pudo resistir la llamada de la naturaleza."
"Call me tomorrow.","Llámame mañana."
"I hope so too.","Yo tambien lo espero."
"Aside from being pretty, this flower is also rare.","Además de ser bonita, esta flor también es rara."
"Rain is falling once again.","La lluvia está cayendo una vez más."
"We must leave, otherwise we will snowed in.","Debemos irnos, de lo contrario entraremos nevando."
"It is very cold outside, hence I am wearing a coat.","Hace mucho frío afuera, por eso estoy usando un abrigo."
"This was a rich forest a while ago.","Este era un bosque rico hace un tiempo."
"Go straight ahead and you will find it.","Siga recto y lo encontrará."
"She was hiding behind the giant bush.","Ella estaba escondida detrás de un arbusto gigante."
"Birds are flying over the land.","Los pájaros vuelan sobre la tierra."
"I will plant a tree right here.","Plantaré un árbol aquí mismo."
"There are many animals in this forest.","Hay muchos animales en este bosque."
"What is all this?","¿Que es todo esto?"
"This is totally my favorite place.","Este es mi lugar favorito."
"May I have some water please?","¿Puedo tener un poco de agua por favor?"
"How long will this storm last?","¿Cuánto tiempo durará esta tormenta?"
"In the middle of the forest, you can see an old log rotting away into the ground.","En medio del bosque, puedes ver un viejo tronco pudriéndose en el suelo."
"Sunrise is one of the beautiful parts of the day.","El amanecer es una de las partes más hermosas del día."
"Let's stay here for an hour longer.","Quedémonos aquí una hora más."
"Every year I go and walk by the lake.","Todos los años voy a caminar por el lago."
"The bird is still sitting still on the branch.","El pájaro todavía está quieto en la rama."
"Don't wander off too far.","No te alejes demasiado."
"Tell me if you can see the moon tonight.","Dime si puedes ver la luna esta noche."
"I was eating the fruit but then I decided that I want to eat something else.","Estaba comiendo la fruta, pero luego decidí que quería comer algo más."
"Who planted the big tree over there?","¿Quién plantó el gran árbol allí?"
"What will happen to the grass when winter comes?","¿Qué pasará con la hierba cuando llegue el invierno?"
"I know where bunnies hide.","Sé dónde se esconden los conejos."
"I always wondered why water has no taste.","Siempre me pregunté por qué el agua no tiene sabor."
"How did you sleep?","¿Cómo has dormido?"
"Sometimes I like to travel far away from home.","A veces me gusta viajar lejos de casa."
"Love is not just a word.","El amor no es solo una palabra."
"We must take care of this planet, to be honest.","Debemos cuidar este planeta, para ser honestos."
"If I plant five trees maybe at least one will grow.","Si planto cinco árboles, tal vez al menos uno crezca."
"I never saw such wonderful river in my entire life.","Nunca vi un río tan maravilloso en toda mi vida."
"Over time, nature healed, and grass, trees and animals replaced the bare dirt.","Con el tiempo, la naturaleza se curó y la hierba, los árboles y los animales reemplazaron la tierra desnuda."
"Sundown is another beautiful part of my day.","La puesta del sol es otra parte hermosa de mi día."
"I like to sit down on soft and bright green grass.","Me gusta sentarme sobre césped verde suave y brillante."
"Snow was falling all night and in the morning everything was white.","La nieve estuvo cayendo toda la noche y por la mañana todo estaba blanco."
"Oceans are just too big!","¡Los océanos son demasiado grandes!"
"Seven years ago, I saw a huge owl right there.","Hace siete años, vi un búho enorme allí mismo."
"We like swimming in the river.","Nos gusta nadar en el río."
"Stars shine bright tonight.","Las estrellas brillan intensamente esta noche."
"A little wolf is playing with the wooden stick.","Un pequeño lobo está jugando con el palo de madera."
"Sand on this beach is totally black.","La arena de esta playa es totalmente negra."
"The light in the sky was blue and green, moving slowly, like magic.","La luz en el cielo era azul y verde, moviéndose lentamente, como por arte de magia."
"I can see the trees growing along the shore.","Puedo ver los árboles que crecen a lo largo de la orilla."
"The air is crisp and fresh, and the night sky is clear.","El aire es fresco y fresco, y el cielo nocturno está despejado."
"There is one last leaf left hanging from the barren tree.","Queda una última hoja colgando del árbol estéril."
"This summer my family is going on a long walk around the lake.","Este verano mi familia va a dar un largo paseo por el lago."
"One of his eyes was purple and the other one was blue.","Uno de sus ojos era morado y el otro azul."
"It seems like it used to rain almost every day when I was a child.","Parece que solía llover casi todos los días cuando era niño."
"The sea covers a larger part of the earth.","El mar cubre una mayor parte de la tierra."
"The bushes surround the forest, creating a boundary that protects the landscape.","Los arbustos rodean el bosque, creando un límite que protege el paisaje."
"The bees love to suck on the nectar of flowers.","A las abejas les encanta chupar el néctar de las flores."
"These type of red rocks are rarely found, you have to be extremeley patient while digging.","Este tipo de rocas rojas rara vez se encuentran, hay que tener extrema paciencia al excavar."
"Ocean waves were very high that day years back.","Las olas del océano eran muy altas ese día hace años."
"Dark clouds part, allowing the suns rays to enter once again.","Las nubes oscuras se abren, permitiendo que los rayos del sol entren una vez más."
"Sunshine in the northern part of the country seems a lot different from the south.","La luz del sol en la parte norte del país parece muy diferente a la del sur."
"Shrubs are pretty much always seen growing all over the forest floor.","Los arbustos casi siempre se ven creciendo por todo el suelo del bosque."
"Did you ever climb up that super tall hill behind that one tree?","¿Alguna vez subiste esa colina súper alta detrás de ese árbol?"
"It's too far, we cannot walk there now, it's too late.","Está demasiado lejos, no podemos caminar hasta allí ahora, es demasiado tarde."
"I like making this place mine, keeping it clean and fresh for anyone who comes by.","Me gusta hacer mío este lugar, mantenerlo limpio y fresco para cualquiera que venga."
"Look, the fire is blue right now, that is so cool!","Mira, el fuego es azul en este momento, ¡eso es genial!"
"Have you ever tried making a fire all on your own?","¿Alguna vez has intentado hacer un fuego por tu cuenta?"
"You never actually see trees growing, they grow too slowly.","En realidad, nunca ves crecer árboles, crecen demasiado lento."
"And so I kept dreaming like it was real life.","Y así seguí soñando como si fuera la vida real."
