"sentence",translation
"The desert was basking in an orange sunset when they finally stopped.",Sa mạc đã nhuộm màu cam của hoàng hôn khi họ dừng chân cuối cùng.
"The birds flew to their nests in the evening.",Những con chim đã bay về tổ vào buổi tối.
"Water was dripping from the trees, and the land was wet.",Nước đang nhỏ giọt từ cây và đất thì ướt.
"Snow crunched under her feet and quickly soaked her gear.",Tuyết lạo xạo dưới chân cô ấy và nhanh chóng thấm vào vật dụng của cô ấy.
"It was at the beginning of winter.",Đó là vào đầu mùa đông.
"Nature was at her peak, blending the wild blooms with various shades of green.","Thiên nhiên lộng lẫy, hòa quyện những đóa hoa dại với nhiều sắc xanh khác nhau."
"It lies in a hilly well-wooded landscape above the valley of the small river.",Nó nằm trong một vùng đồi núi um tùm bên trên thung lũng có con sông nhỏ.
"The birds saw the little girl who was walking among the trees and flew down to greet her.",Lũ chim đã trông thấy cô bé đang đi giữa những cái cây và chúng sà xuống để chào cô bé.
"She glanced down at the bird's nest in her hand.",Cô ấy đã nhìn xuống cái tổ chim nằm trong tay mình.
"She studied the berry-like seeds that grew in a cluster at the top of the bush.",Cô ấy đã xem xét những hạt trông giống dâu mọc thành chùm trên bụi cây.
"The yard of the super old house was completely covered with plants, rocks, and animals.","Khu vườn của ngôi nhà cũ rích đã bị che phủ hoàn toàn bởi cây cối, đá sỏi và động vật."
"There was not a breath of wind to stir the young leaves on the trees.",Đã không có một ngọn gió nào để khuấy động những chiếc lá non trên cây.
"The climate is extremely hot and dry in summer, while the winter temperature is mild and pleasant.",Thời tiết cực kỳ khô nóng vào mùa hè còn nhiệt độ mùa đông thì dịu và dễ chịu.
"When traveling through the countryside you see many inspiring mountains, streams, valleys, and lakes.","Khi đi qua vùng quê bạn sẽ nhìn thấy nhiều ngọn núi, con suối, thung lũng và hồ nước đầy cảm hứng."
"It was so close to the sea that those who lived in it could hear the waves forever beating against the shore.",Nó ở rất gần biển nên những người sống ở đó có thể nghe thấy tiếng sóng liên tiếp vỗ bờ.
"The island is very picturesque with rolling green hills surrounded by glorious coastal scenery.","Hòn đảo đẹp như tranh vẽ với những ngọn đồi xanh chập chồng, bao quanh là phong cảnh bờ biển hùng vĩ."
"The ocean breeze brought that familiar scent back.",Cơn gió đại dương đã mang mùi hương thân quen đó trở lại.
"The warm sun shined on the tall powerful trees and drew out all their fragrance.",Mặt trời ấm áp chiếu sáng những cái cây cao lớn và gọi ra tất cả hương thơm của chúng.
"It was very pleasant out in the shady woods.",Cảm giác rất dễ chịu khi đi vào rừng có nhiều bóng râm.
"They were sitting around the fire and trying to keep each other warm.",Họ đã ngồi quanh đống lửa và cố gắng giữ ấm cho nhau.
"She opened her eyes and blinked at the sunlight streaming through the forest.",Cô ấy đã mở mắt rồi chớp mắt trước ánh sáng mặt trời đang rọi xuống khu rừng.
"An old man decides it's time to get a new rock for his collection.",Một ông già quyết định đã đến lúc tìm một hòn đá mới cho bộ sưu tập của mình.
"One day in spring, three men were riding together along a country road.","Một ngày mùa xuân, ba người đàn ông đang cưỡi ngựa cùng nhau dọc theo con đường quê."
"She walked for half an hour until the rain began to trickle through the tree tops.",Cô ấy đã đi bộ nửa tiếng cho đến khi mưa bắt đầu lọt qua những tán cây.
"The soothing sound of water running over stones greeted them as they neared the creek.",Âm thanh dịu dàng của nước chảy qua những tảng đá như chào đón họ khi họ tới gần con suối.
"The old creaking tree spread a blanket of shade in the grass beside the pond.",Cái cây già cỗi cọt kẹt đổ bóng xuống bãi cỏ bên cạnh cái ao.
"I love the beautiful spring because the budding trees and the blossoming flowers are so abundant.",Tôi thích mùa xuân tươi đẹp bởi vì cây cối đâm chồi và hoa nở rất nhiều.
"Whenever my aunt comes to visit, she brings some good gifts for my family.","Mỗi khi dì tôi đến thăm, dì lại mang những món quà hay đến cho gia đình tôi."
"He took his children far away to a green valley.",Anh ấy đã đưa lũ trẻ đi xa tới một thung lũng xanh.
"I am pleased because I love the warm sunshine and the fragrant flowers.",Tôi rất hài lòng bởi vì tôi yêu ánh nắng ấm áp và những đóa hoa ngát hương.
"After a while, they were riding around the side of a steep hill through tall grass.","Sau một lúc, họ đã cưỡi ngựa quanh sườn đồi dốc xuyên qua đám cỏ cao."
"Old meadows provide a home for many colorful plants.",Những cánh đồng cỏ cũ là nhà của rất nhiều loài cây sặc sỡ.
"The warm sun had melted most of the snow from the path.",Mặt trời ấm áp đã làm tan chảy hầu hết tuyết trên con đường.
"She glanced back over her shoulder at the huge rock on the hill.",Cô ấy đã ngoái nhìn tảng đá khổng lồ trên ngọn đồi.
"The sun peeked over the desert horizon to the east.",Mặt trời đã ló rạng ở phía đông chân trời sa mạc.
"Ahead was nothing but a narrow dirt path lined with mature trees and bushes.",Phía trước không có gì ngoài một con đường đất bẩn và hẹp với những hàng cây và bụi cây trưởng thành.
"We shall all live together in a small place near one of the lakes beyond the forest.",Tất cả chúng ta sẽ cùng nhau ở một nơi nhỏ bé gần một trong những hồ nước ngoài khu rừng.
"I took a scenic ride through the ever infinite land.",Tôi đã đi ngắm cảnh qua vùng đất bao la.
"He imagined the way the ocean breeze zipped straight into their tent.",Anh ấy đã tưởng tượng ra cảnh cơn gió đại dương lùa thẳng vào lều của họ.
"In the evening, we would walk in the yard and catch the grasshoppers and butterflies.","Vào buổi tối, chúng tôi đã thường đi dạo trong vườn, bắt châu chấu và bướm."
"The sun set too early on that autumn day.",Mặt trời đã lặn rất sớm vào ngày mùa thu đó.
"The valleys within the hill ranges are fragrant with aromatic shrubs.",Những thung lũng nằm giữa những ngọn đồi tỏa hương thơm từ những bụi cây.
"He skipped a stone across the pond.",Anh ấy đã lia một hòn đá trên mặt ao.
"She glanced up at her friend, who was sitting against a tree watching her.",Cô ấy đã ngước nhìn lên người bạn của mình đang ngồi tựa vào một cái cây để quan sát cô ấy.
"Have you ever seen a rainbow?",Bạn đã bao giờ nhìn thấy cầu vồng chưa.
"Yesterday, I had a chance to view a rainbow.","Ngày hôm qua, tôi đã có cơ hội để xem cầu vồng."
"The rainbow was far and high but neither thick nor full.",Cầu vồng ở cao và xa nhưng không dày và đầy đủ.
"I will be lucky to see a rainbow again.",Tôi sẽ rất may mắn nếu được nhìn thấy cầu vồng lần nữa.
"This evening we might see a beautiful double rainbow.",Tối nay chúng ta có thể được nhìn thấy cầu vồng kép rất đẹp.
"I heard the animals chewing grass.",Tôi đã nghe thấy tiếng những con vật đang nhai cỏ.
"I looked at the many birds along the path.",Tôi đã nhìn thấy rất nhiều con chim dọc theo con đường.
"The birds made short, high pitched sounds.",Lũ chim tạo ra những âm thanh ngắn và lanh lảnh.
"I was very tired after the long day deep in the forest.",Tôi đã rất mệt sau một ngày dài ở sâu trong khu rừng.
"We did not have enough energy to play games.",Chúng tôi đã không còn đủ sức để chơi trò chơi.
"Still, we were asked to see how far we could throw these rocks.",Tuy nhiên chúng tôi vẫn được yêu cầu xem chúng tôi có thể ném những hòn đá này bao xa.
"He loudly counted one, two, three to start the game.","Anh ấy đã đếm to một, hai, ba để bắt đầu trò chơi."
"We could dig some soil and build a mountain.",Chúng ta có thể đào một ít đất để làm một ngọn núi.
"We even jumped out because it was not very high.",Thậm chí chúng tôi đã nhảy ra ngoài bởi vì nó không cao lắm.
"I just felt that we must again go to this forest for another fun time.",Tôi thấy rằng chúng ta lại phải đến khu rừng này vào một dịp đi chơi khác.
"It was too late when we came back home.",Lúc đó đã quá muộn khi chúng tôi về nhà.
"Later in the calm of the night, when you get a chance.","Về sau trong cái tĩnh lặng của ban đêm, khi bạn có cơ hội."
"I also saw the moon in the sky.",Tôi cũng đã thấy mặt trăng trên bầu trời.
"The stars looked very small, yet they did flicker.",Những ngôi sao trông rất bé nhưng chúng lấp lánh.
"It's pretty hard to see stars on a cloudy day.",Khá khó để ngắm sao vào ngày nhiều mây.
"Where did the stars and the moon go?",Những ngôi sao và mặt trăng đã đi đâu rồi?
"I went to sleep late at night.",Tôi đã đi ngủ muộn vào buổi đêm.
"What a pretty rabbit it is!",Con thỏ trông thật xinh!
"She hopped out of her burrow.",Nó đã nhảy ra từ cái hang.
"Her eyes look all around eagerly.",Mắt nó đảo quanh một cách háo hức.
"She perches on her toes and keeps her ears sharp and steady.",Nó đứng nhón chân còn đôi tai nghe ngóng.
"There was a breeze, then the rain followed.",Đã có một cơn gió và sau đó trời đổ mưa.
"Like a hunter, she looks around.","Giống như một thợ săn, nó nhìn quanh."
"She licks her ears and rubs her paws.",Nó liếm tai và cọ móng vuốt của mình.
"Then there seemed to be gold in the rock.",Dường như có vàng trong cục đá.
"They do not stop or give up, and instead continue to go ahead.",Họ không dừng lại hay bỏ cuộc mà tiếp tục tiến về trước.
"Hence, they never stop, going on all day seemingly forever.",Vì vậy họ không dừng lại mà đi tiếp cả ngày dài dường như vô tận.
"The digging in the middle of the tunnel does not stop.",Việc đào bới ở giữa đường hầm không dừng lại.
"Even when one rabbit stops to rest, others take over and continue the process.",Ngay cả khi một con thỏ dừng để nghỉ thì những con khác sẽ làm tiếp.
"If it rains heavily, how can they continue?","Nếu trời mưa to, họ tiếp tục bằng cách nào?"
"Then they will have to stay home.",Thì họ sẽ phải ở nhà.
"It rains.",Trời mưa.
"What should I do next?",Tôi nên làm gì tiếp theo?
"The day is ending.",Ngày đang kết thúc.
"Sun is sinking and the moon is becoming visible.",Mặt trời đang lặn và mặt trăng đang lên.
"So, the rabbit has to take shelter and go to sleep.","Do đó, con thỏ phải trú và đi ngủ."
"It is still so dark.",Trời vẫn còn rất tối.
"I woke up from my sleep to see the next bright day.",Tôi tỉnh ngủ và thấy ngày mới bừng sáng.
"I wonder why you hardly ever see that in real life.",Tôi thắc mắc vì sao bạn hiếm khi nhìn thấy cái đó trên thực tế.
"I told my friends about my dream.",Tôi đã kể với bạn bè về giấc mơ của tôi.
"The sun rises and falls in a seemingly endless cycle.",Mặt trời mọc rồi lặn trong một chu kỳ tưởng chừng vô tận.
"Finally, there is no more moon for us to see.",Cuối cùng thì không còn mặt trăng để chúng ta nhìn nữa rồi.
"Where did the moon go?",Mặt trăng đã đi đâu?
"What is left but a tree containing endless fruit?",Có gì còn lại ngoài một cái cây với vô số quả?
"Yes please, let's do it!","Đúng vậy, hãy cùng làm đi!"
"Okay, if you think that is the best path.","OK, nếu bạn cho rằng đó là con đường tốt nhất."
"The bird seems to be flying upside down.",Con chim dường như bay ngửa.
"I don't see why that tree needs to be so tall.",Tôi không hiểu vì sao cái cây đó cần cao đến vậy.
"I often lose myself in the beauty of the forest.",Tôi thường bị hớp hồn bởi vẻ đẹp của khu rừng.
"Since we last walked here, the tree has grown by quite a lot.","Kể từ lần cuối chúng ta đi đến đây, cái cây đã phát triển khá nhiều."
"However, it would be a lot more interesting to just jump in ourselves.","Tuy nhiên, sẽ thú vị hơn nhiều nếu chúng ta tự nhảy vào."
"This is basically the way trees grow.",Về căn bản đây là cách cây phát triển.
"Put in a good word for me.",Hãy nói tốt giúp tôi.
"We will be together until the end.",Chúng ta sẽ ở bên nhau cho đến cuối cùng.
"I love late night walks.",Tôi thích đi dạo vào ban đêm.
"Will you love me forever?",Bạn sẽ mãi yêu tôi chứ?
"She loves the color of the sky in the early morning.",Cô ấy thích màu sắc bầu trời sáng sớm.
"The tree has black leaves, long, slender, and beautiful.","Cái cây có lá cây màu đen, mỏng, dài và đẹp."
"Flowers roses grew all around the house.",Những đóa hồng đã mọc quanh ngôi nhà.
"Look at that clear blue sky!",Hãy trông bầu trời trong xanh kia!
"Purple flowers everywhere!",Hoa tím ở mọi nơi!
"The way he moved, he made it look so easy.",Cách anh ấy di chuyển trông thật giản đơn.
"The rain was falling down hard.",Cơn mưa đã trút xuống.
"How high can trees grow amongst other trees in the forest?",Cây có thể mọc cao bao nhiêu giữa những cây khác trong rừng?
"Lower your voice.",Hạ giọng của bạn xuống.
"I was living on a big piece of land when I was young.",Tôi đã sống trên một mảnh đất rộng khi tôi còn nhỏ.
"That tree is pretty darn big.",Cái cây đó khá là to.
"My imagination runs wild sometimes.",Đôi khi tôi tưởng tượng ra những điều hoang đường.
"The forest was full of wild flowers.",Khu rừng ngập tràn những bông hoa dại.
"The lake is calm today.",Hồ nước hôm nay rất tĩnh lặng.
"Sitting still helps me stay calm when I am having a bad day.",Ngồi yên một chỗ giúp tôi bình tâm khi tôi có một ngày tệ hại.
"We wanted to get closer to the wild animals because they were so beautiful.",Chúng tôi đã muốn tiến gần hơn đến những con thú hoang bởi vì chúng rất đẹp.
"Don't stand so close to the fire.",Đừng đứng quá gần ngọn lửa.
"The storm is far away from here thankfully.",Rất may cơn bão ở xa đây.
"This is the oldest tree on the land.",Đây là cái cây già nhất ở vùng đất này.
"This forest is full of very old trees.",Khu rừng này đầy rẫy những cây cổ thụ.
"The season is currently changing, as you can see since the leaves are getting brown.",Mùa đang thay đổi bởi vì bạn có thể nhìn thấy lá cây đang chuyển nâu.
"It was as hard as rock.",Nó cứng như đá.
"Sun is a huge source of energy.",Mặt trời là một nguồn năng lượng khổng lồ.
"She felt energy rushing through her.",Cô ấy cảm thấy năng lượng tràn qua cơ thể cô ấy.
"If you follow this dirt path that way, you will reach a small forest.","Nếu bạn đi theo con đường đất này về lối đó, bạn sẽ đến một khu rừng nhỏ."
"I have good feeling about this.",Tôi có linh cảm tốt về cái này.
"My father is a really good man.",Cha tôi là một người đàn ông rất tốt.
"What is your sibling's name?",Tên anh chị em của bạn là gì?
"Go to sleep, sweet child.",Đi ngủ đi con yêu.
"Family matters.",Gia đình là quan trọng.
"Welcome to our small but loving family.",Chào mừng đến với gia đình nhỏ nhưng giàu tình thương của chúng tôi.
"Peace be with you, friend.",Chúc bạn bình an.
"One kiss, one hug and one smile is all that it takes.","Một nụ hôn, một cái ôm và một nụ cười là tất cả những gì cần đến."
"For two years I dreamed of climbing that mountain.",Trong hai năm tôi đã mơ ước được leo ngọn núi đó.
"Knock three times.",Gõ ba lần.
"Where is your favorite place?",Nơi ưa thích của bạn là gì?
"He jumped around the field, trying to catch a butterfly.",Anh ấy đã nhảy quanh cánh đồng cố gắng bắt một con bướm.
"We need to dig a hole and plant this seed.",Chúng ta cần đào một cái hố và trồng hạt giống này.
"Do you have a plan for the adventure?",Bạn có kế hoạch cho cuộc phiêu lưu không?
"I could hear interesting sounds like a song traveling through the night across the beautiful sea.",Tôi đã có thể nghe thấy những âm thanh thú vị tựa như một bài ca bay qua màn đêm vượt qua vùng biển tuyệt đẹp.
"If you look carefully around you, you will find beauty everywhere.","Nếu bạn quan sát kỹ xung quanh, bạn sẽ thấy vẻ đẹp ở mọi nơi."
"Who do you see in the lake?",Bạn nhìn thấy ai trong hồ nước?
"Come and find me.",Hãy đến và tìm tôi.
"Find your true path.",Tìm con đường đúng đắn của bạn.
"She could not resist the call of the wild.",Nó đã không thể cưỡng lại tiếng gọi nơi hoang dã.
"Call me tomorrow.",Hãy gọi cho tôi vào ngày mai.
"I hope so too.",Tôi cũng hy vọng thế.
"Aside from being pretty, this flower is also rare.","Ngoài đẹp, bông hoa này còn hiếm nữa."
"Rain is falling once again.",Trời lại đang mưa.
"We must leave, otherwise we will snowed in.","Chúng ta phải rời đi, nếu không sẽ bị mắc kẹt bởi tuyết."
"It is very cold outside, hence I am wearing a coat.",Ngoài trời rất lạnh nên tôi đang mặc một chiếc áo khoác.
"This was a rich forest a while ago.","Cách đây một thời gian, đây đã từng là một khu rừng tươi tốt."
"Go straight ahead and you will find it.",Đi thẳng và bạn sẽ tìm thấy nó.
"She was hiding behind the giant bush.",Nó đang ẩn mình đằng sau bụi cây lớn.
"Birds are flying over the land.",Chim đang bay lượn trên vùng đất.
"I will plant a tree right here.",Tôi sẽ trồng một cái cây ngay tại đây.
"There are many animals in this forest.",Có rất nhiều loài động vật trong khu rừng này.
"What is all this?",Tất cả thứ này là gì?
"This is totally my favorite place.",Đây chắc chắn là địa điểm ưa thích của tôi.
"May I have some water please?",Tôi có thể xin một chút nước được không?
"How long will this storm last?",Cơn bão này sẽ kéo dài bao lâu?
"In the middle of the forest, you can see an old log rotting away into the ground.","Ở giữa rừng, bạn có thể nhìn thấy một khúc gỗ cũ đang mục nát vào đất."
"Sunrise is one of the beautiful parts of the day.",Bình minh là một trong những khoảng thời gian đẹp trong ngày.
"Let's stay here for an hour longer.",Chúng ta hãy ở đây hơn một tiếng.
"Every year I go and walk by the lake.",Hàng năm tôi lại đến đi bộ bên hồ.
"The bird is still sitting still on the branch.",Con chim vẫn đang đứng yên trên cành cây.
"Don't wander off too far.",Đừng lang thang xa quá.
"Tell me if you can see the moon tonight.",Hãy cho tôi biết nếu bạn có thể nhìn thấy mặt trăng đêm nay.
"I was eating the fruit but then I decided that I want to eat something else.",Tôi đang ăn trái cây nhưng rồi tôi đã quyết định tôi muốn ăn thứ khác.
"Who planted the big tree over there?",Ai đã trồng cái cây to đằng kia?
"What will happen to the grass when winter comes?",Điều gì sẽ xảy ra với cỏ khi mùa đông đến?
"I know where bunnies hide.",Tôi biết chỗ lũ thỏ trốn.
"I always wondered why water has no taste.",Tôi luôn thắc mắc vì sao nước không có vị gì.
"How did you sleep?",Bạn ngủ thế nào?
"Sometimes I like to travel far away from home.",Đôi lúc tôi muốn đi xa nhà.
"Love is not just a word.",Tình yêu không chỉ là lời nói.
"We must take care of this planet, to be honest.","Thành thật mà nói, chúng ta phải chăm sóc hành tinh này."
"If I plant five trees maybe at least one will grow.",Nếu tôi trồng năm cây thì ít nhất một cây sẽ phát triển.
"I never saw such wonderful river in my entire life.",Tôi chưa từng nhìn thấy một con sông đẹp đến như vậy trong đời.
"Over time, nature healed, and grass, trees and animals replaced the bare dirt.","Theo thời gian, tự nhiên đã hồi phục và cỏ cây muông thú đã thay thế mặt đất trơ trọi."
"Sundown is another beautiful part of my day.",Hoàng hôn là một khoảng thời gian đẹp khác trong ngày đối với tôi.
"I like to sit down on soft and bright green grass.",Tôi thích ngồi xuống cỏ mềm và có màu xanh sáng.
"Snow was falling all night and in the morning everything was white.",Tuyết đã rơi cả đêm và đến sáng mọi thứ đều màu trắng.
"Oceans are just too big!",Đại dương quá bao la!
"Seven years ago, I saw a huge owl right there.","Bảy năm trước, tôi đã trông thấy một con cú lớn ngay ở đó."
"We like swimming in the river.",Chúng tôi thích bơi trên sông.
"Stars shine bright tonight.",Đêm nay các ngôi sao rất sáng.
"A little wolf is playing with the wooden stick.",Con sói nhỏ đang chơi đùa với que gỗ.
"Sand on this beach is totally black.",Cát trên bãi biển này có màu đen tuyền.
"The light in the sky was blue and green, moving slowly, like magic.","Ánh sáng trên bầu trời có màu xanh lam và xanh lá, di chuyển chậm rãi, tựa cổ tích."
"I can see the trees growing along the shore.",Tôi có thể nhìn thấy những cái cây mọc dọc bờ biển.
"The air is crisp and fresh, and the night sky is clear.",Bầu không khí khỏe khắn và trong lành còn bầu trời đêm thì trong suốt.
"There is one last leaf left hanging from the barren tree.",Cái cây cằn cỗi còn một chiếc lá cuối cùng.
"This summer my family is going on a long walk around the lake.",Hè này gia đình tôi sẽ có một chuyến đi dài quanh hồ.
"One of his eyes was purple and the other one was blue.",Một mắt của anh ấy có màu tím và mắt còn lại có màu xanh lam.
"It seems like it used to rain almost every day when I was a child.",Có vẻ như ngày nào trời cũng mưa khi tôi còn nhỏ.
"The sea covers a larger part of the earth.",Biển bao phủ đa phần trái đất.
"The bushes surround the forest, creating a boundary that protects the landscape.","Những bụi cây bao quanh khu rừng, tạo nên một hàng rào bảo vệ quang cảnh."
"The bees love to suck on the nectar of flowers.",Lũ ong thích hút mật hoa.
"These type of red rocks are rarely found, you have to be extremeley patient while digging.","Những loại đá đỏ này rất khó tìm, bạn phải cực kỳ kiên nhẫn khi đào."
"Ocean waves were very high that day years back.",Sóng biển đã rất cao vào ngày đó cách đây nhiều năm.
"Dark clouds part, allowing the suns rays to enter once again.",Mây đen tan đi để tia nắng lại xuyên qua.
"Sunshine in the northern part of the country seems a lot different from the south.",Nắng ở miền bắc đất nước có vẻ rất khác so với miền nam.
"Shrubs are pretty much always seen growing all over the forest floor.",Những bụi cây gần như luôn mọc khắp nơi trên thảm rừng.
"Did you ever climb up that super tall hill behind that one tree?",Bạn đã bao giờ leo lên ngọn đồi siêu cao đằng sau cái cây đó chưa?
"It's too far, we cannot walk there now, it's too late.","Nó quá xa, chúng ta không thể đi bộ đến đó bây giờ, đã quá muộn rồi."
"I like making this place mine, keeping it clean and fresh for anyone who comes by.","Tôi thích biến nơi này thành của tôi, giữ nó sạch sẽ và tươi mới cho bất kỳ người nào ghé qua."
"Look, the fire is blue right now, that is so cool!","Nhìn kìa, ngọn lửa đang có màu xanh lam, thật là hay!"
"Have you ever tried making a fire all on your own?",Bạn đã bao giờ thử tự tạo lửa chưa?
"You never actually see trees growing, they grow too slowly.","Thực tế bạn chưa bao giờ nhìn thấy cây phát triển, chúng mọc rất chậm."
"And so I kept dreaming like it was real life.",Và thế nên tôi tiếp tục mơ như thể nó là thực.
